flow_duration_ms,total_fwd_packets,total_bwd_packets,total_fwd_bytes,total_bwd_bytes,packet_length_mean,packet_length_std,iat_mean_ms,iat_std_ms,fwd_bwd_byte_ratio,active_flows_count,unique_dst_ports,ttl_mean,ttl_variance,tcp_win_mean,tcp_win_min,flag_syn_ratio,flag_ack_ratio,flag_fin_ratio,flag_rst_ratio,fragment_flag_count,retransmission_count,infil_label,stage_label
0.4215054,0.21528985,0.21528989,0.12812993,0.12812993,0.08152761,0.071157195,0.9908649,0.5527244,0.0,-0.021428572,0.61538464,0.7921246,-0.9225099,0.56498677,9.775342,0.4539011,-0.26589608,-0.5255973,-0.15584415,0.0,-0.3,1.0,3
2.3905394,0.003748812,0.003748853,-0.0798262,-0.079826176,-0.15375292,-0.0937144,5.9156237,1.2962762,0.0,-0.028571429,0.96153843,0.6282755,-0.90101165,0.55392236,9.768501,-0.21182047,0.46797732,-0.5255973,-0.15584415,0.0,-0.1,1.0,3
0.11589551,-0.33525237,-0.33525237,-0.24664077,-0.24664077,-0.26345584,-0.20703323,6.313818,0.85598546,0.0,-0.37857142,-0.23076923,-0.46041113,0.3100533,0.044817638,0.0,0.15802488,0.14181139,0.20773607,1.9047619,0.0,0.6,1.0,3
0.27615857,0.3743473,0.37434733,1.0681733,1.0681733,1.5410607,3.0204604,0.5847343,0.48889443,0.0,0.08571429,0.23076923,-0.58681357,0.31283128,-0.5144488,0.0,-0.37061647,0.64302963,-0.5255973,0.07101154,0.0,3.7,1.0,3
0.20983183,0.18690588,0.18690589,-0.063490905,-0.06349088,-0.31623864,0.055791862,0.72643745,0.55829376,0.0,-0.12142857,0.3846154,-0.14340134,0.1646384,-0.14499329,0.0,0.2033607,-0.06861834,0.18408011,0.64180976,0.0,0.4,1.0,3
-0.1812104,0.21207659,0.21207657,0.48507863,0.48507872,0.87238574,0.81821066,0.12140024,0.0028620586,0.0,0.08571429,1.7307693,0.846741,-0.9337709,0.58201003,9.982898,0.67580837,-0.5105205,-0.5255973,-0.15584415,0.0,-0.4,1.0,3
-0.01684143,1.072165,1.0721649,1.957939,1.957939,1.2537158,1.0597395,0.045757126,0.023826873,0.0,0.32857144,0.5769231,0.66799647,-0.9045312,0.5811153,9.97839,-0.14354134,0.01636296,-0.5255973,-0.15584415,0.0,-0.1,1.0,3
0.15063448,-0.23778285,-0.23778284,-0.13201912,-0.13201909,0.35583317,0.05490188,2.7122183,0.68175834,0.0,-0.35714287,0.115384616,-0.11629066,0.101309136,-0.047570586,0.0,0.34068316,0.008682402,-0.3011075,0.60111314,0.0,0.9,1.0,3
0.31783545,-0.006962126,-0.0069620856,0.27904266,0.27904272,1.0892836,0.5954878,1.4112226,0.60348284,0.0,-0.10714286,0.5769231,-0.8041632,0.45625833,-0.34076446,0.0,-0.3026007,0.34566507,1.2244027,1.5301063,0.0,0.7,1.0,3
-0.2090526,-0.30740395,-0.30740392,-0.19983087,-0.19983083,0.23591521,-0.08424959,1.4705817,0.29240593,0.0,-0.34285715,0.115384616,-0.24447198,0.17956342,0.2972425,0.0,0.023672882,0.008682402,0.37236187,0.096474946,0.0,0.5,1.0,3
